x [nm],y [nm],z [nm]
39851.992188,993.09375,-125.552628
6575.012695,2776.207275,-76.162895
21946.160156,5676.479492,285.357758
19017.910156,6145.914551,-51.75782
29999.660156,6330.590332,130.617554
30416.572266,7624.085449,207.72554
6202.53418,8535.255859,-91.161774
38914.765625,8959.176758,-16.853733
28712.619141,8997.517578,-110.550156
43622.835938,9193.866211,-28.554523
11780.135742,9764.088867,-134.057343
42769.285156,10219.772461,-227.507294
17663.740234,10511.618164,-102.007133
6920.797852,10718.956055,-119.062737
46163.09375,11481.416992,-412.741699
42389.605469,12878.62793,-52.493359
28961.888672,12948.761719,113.825241
40633.039063,15432.220703,-22.100559
20679.351563,16518.140625,-12.032183
32363.951172,16426.191406,-91.173172
40894.855469,17185.005859,-41.467373
9061.712891,20817.292969,-113.936287
24085.580078,22913.769531,-31.07575
3335.82959,23817.050781,-329.111389
13739.480469,23956.515625,13.333793
15140.916992,24508.144531,-7.431923
15036.742188,25380.992188,-106.887314
47084.726563,26862.287109,-21.562031
12119.774414,26923.736328,-8.627769
30277.199219,27264.826172,-85.848038
2872.21875,28172.390625,-9.62786
40090.953125,30515.859375,-159.808136
39570.867188,32937.242188,-337.137238
45583.746094,33137.207031,-119.108208
18278.439453,33515.507813,-523.912781
28086.318359,34346.683594,-62.914116
21692.296875,34953.148438,-63.472908
39669.871094,35720.652344,-154.130661
40938.535156,39088.53125,-118.822182
16480.453125,39827.574219,-102.936455
34550.175781,40170.242188,-102.610397
43753.570313,41467.96875,-101.255028
6778.454102,44438.351563,-4.048147
47066.960938,44792.675781,-14.890863
33666.671875,44921.128906,57.053486
2104.901611,45077.867188,-59.497414
27393.988281,45610.914063,-82.375916
46700.957031,45866.5,-51.735191
18939.929688,46176.800781,-177.817123
30258.953125,49172.402344,-60.851845
9452.696289,49959.542969,24.15687
15076.928711,50091.414063,29.206892
34932.09375,50092.96875,-134.728378
1379.558716,50794.671875,-18.264627
21358.841797,51135.6875,-29.273903
32095.548828,53043.292969,-118.637436
44488.335938,54006.539063,-104.098045
34313.453125,55486.066406,-54.285244
10678.191406,55539.816406,37.719887
16739.707031,55580.285156,435.881256
21739.537109,55580.929688,528.716003
35797.957031,55526.738281,-95.561226
12107.738281,55906.777344,-65.121597
18094.580078,56722.40625,22.449911
46992.3125,57011.289063,-89.128395
18090.214844,56721.058594,9.578493
-175.905823,58200.980469,-133.306488
11709.310547,58216.382813,8.02745
4208.988281,58262.292969,-578.330811
36978.652344,58673.300781,-75.783661
44400.640625,59162.53125,-37.501614
42601.808594,60050.34375,-37.661118
1317.857788,61155.601563,-38.07093
33421.296875,61492.332031,0.780243
35896.03125,61707.117188,-88.129921
-506.02002,63132.242188,-96.154175
34446.566406,63012.726563,-314.891907
38865.417969,64081.980469,-82.103569
28914.902344,64786.121094,-4.054957
-136.108398,64884.917969,-22.721567
8488.991211,65064.917969,-29.649763
39747.3125,66371.625,0.0,16.982271
3888.919434,67520.960938,-30.285793
5789.568359,67480.78125,-557.930725
9221.929688,68721.273438,-190.707855
22933.197266,69717.421875,664.130005
35562.714844,69779.757813,26.718519
1683.86792,69806.53125,28.373499
18685.224609,71102.210938,-25.575237
10264.999023,71390.226563,-211.840576
39103.015625,72133.703125,-77.371094
17588.140625,74103.671875,-110.946335
20724.478516,75392.085938,-2.001034
18141.328125,76655.195313,-17.847139
23171.628906,76725.351563,64.425941
44759.25,77392.507813,91.512383
43355.285156,77709.148438,-27.700531
43356.660156,77715.148438,1.502671
10872.174805,78272.335938,230.846603
